Queue Name,Printer Name,Printer Model,Price,Color,DPI,Duplex,Location
sage-lib2-bw,SAGE Lib2-B/W,HP LaserJet 600 M601 M602 M603,8.00,B/W,600.00,Two-sided,
schwartz1,Schwartz Center Net-Print 1,HP LaserJet P3010 Series,7.00,B/W,600.00,Two-sided,
sha-grad1,SHA Net-Print Grad1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
sha-mslc-color,Marriott SLC Color,Xerox ColorQube 8870,25.00,Color,600.00,Two-sided,
sha-mslc-front1,Marriott SLC Front Desk 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
sha-mslc-front2,Marriott SLC Front Desk 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
sha-mslc-front3,Marriott SLC Front Desk 3,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
sha-mslc-lounge,Marriott SLC Lounge,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
sha-mslc-quick,Marriott SLC Quick Print,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
snee-netprint1,Snee Hall Net Print 1,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
stimson1,STIMSON Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
stimson2,STIMSON Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
stimsonres,STIMSON Net-Print Resume,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
tatkon1,TATKON Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
upson1,UPSON Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
upson2,UPSON Net-Print 2,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
upson265-lp1,Design Studio - HP4200,hp LaserJet 4200,9.00,B/W,600.00,One-sided,
upson265-lp3,DSTUDIO - HP800ps,HP DesignJet 800PSe,300.00,Color,1200.00,One-sided,
upson3c,UPSON Net-Print 3 Color,Xerox Phaser 8560DN,25.00,Color,600.00,Two-sided,
upsonres,N/A,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
uris-lib1,URIS Library Net-Print 1,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
uris-lib2c,URIS Library Net-Print 2 Color,HP Color LaserJet M651,25.00,Color,600.00,Two-sided,
uris-lib3,URIS Library Net-Print 3,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
uris-lib5,URIS Library CLCL Net-Print B&W,HP LaserJet 600 M601 M602 M603,9.00,B/W,600.00,Two-sided,
uris1,URIS Comp Lab Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
uris2,URIS Comp Lab Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
uris3,URIS Comp Lab Net-Print 3,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
uris4c,URIS Comp Lab Net-Print Color,Xerox Phaser 8560DT,25.00,Color,600.00,Two-sided,
urisres,N/A,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
vet-wiswall-bw,Vet Wiswall Net-Print BW,HP LaserJet P3010 Series,9.00,B/W,600.00,Two-sided,
vet-wiswall-np2,Vet Wiswall Net Print 2,Xerox Phaser 4510N,9.00,B/W,600.00,One-sided,
vetlib2,Vet Lib Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
vetlib3,Vet Lib Net-Print 3,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
vetlib4,Vet Lib Net-Print 4,Xerox ColorQube 8870,25.00,Color,600.00,Two-sided,
vetlib5,Vet Lib Net-Print 5,Xerox Phaser 6360DN,25.00,Color,600.00,Two-sided,
vm-bilinski-01,VetMed Bilinski 01,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
whitelab,WHITELAB Net-Print 1,Xerox Phaser 4510DT,6.00,B/W,600.00,Two-sided,
wsh-cit1,Willard Straight Net-Print 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
wsh-cit2,Willard Straight Net-Print 2,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
wsh-cit3c,Willard Straight Net-Print 3 Color,Xerox Phaser 8560DT,25.00,Color,600.00,Two-sided,
wsh1,WSH Browsing Library 1,Xerox Phaser 4510DT,9.00,B/W,600.00,Two-sided,
