labels,links,category,Latitude,Longitude
Alpha Phi,https://orgsync.com/121363/chapter,Panhellenic Association,42.453293,-76.4860807
Alpha Xi Delta,https://orgsync.com/121364/chapter,Panhellenic Association,42.4553835,-76.4917488
Delta Delta Delta,https://orgsync.com/121365/chapter,Panhellenic Association,42.4553791,-76.4835657
Delta Gamma,https://orgsync.com/121366/chapter,Panhellenic Association,42.4554264,-76.4827318
Kappa Alpha Theta,https://orgsync.com/121367/chapter,Panhellenic Association,42.4445631,-76.4910697
Kappa Delta,https://orgsync.com/121567/chapter,Panhellenic Association,42.454349,-76.4811736
Kappa Kappa Gamma,https://orgsync.com/121369/chapter,Panhellenic Association,42.453918,-76.4853347
Phi Mu,https://orgsync.com/121370/chapter,Panhellenic Association,42.4488836,-76.4903225
Phi Sigma Sigma,https://orgsync.com/121371/chapter,Panhellenic Association,42.445036,-76.4900327
Pi Beta Phi,https://orgsync.com/121372/chapter,Panhellenic Association,42.4581989,-76.4847997
Sigma Delta Tau,https://orgsync.com/121373/chapter,Panhellenic Association,42.45622,-76.4905346
